slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_70000_60000,Loewenburg Neu-Muehlefeld III,7.3,47.41,Switzerland,50000,75000,25000
slice_70000_60000,Mander,6.826,52.445,Netherlands,40000,70000,30000
slice_70000_60000,Moula Guercy,4.848,44.883,France,50000,72000,22000
slice_70000_60000,Noir Bois,7.12,47.43,Switzerland,50000,75000,25000
slice_70000_60000,Pech de l Azé II,1.253,44.859,France,56000,72000,16000
slice_70000_60000,Pech de l Azé IV,1.255,44.858,France,69000,80300,11300
slice_70000_60000,Plaidter Hummerich,7.366,50.385,Germany,57000,82000,25000
slice_70000_60000,Quincay,0.236,46.607,France,40000,70000,30000
slice_70000_60000,Regourdou,1.178,45.055,France,57000,71000,14000
slice_70000_60000,Riparo Tagliente,11.001,45.541,Italy,42000,70000,28000
slice_70000_60000,Sants Croce,16.469,41.177,Italy,55000,70000,15000
slice_70000_60000,Sesselfelsgrotte,11.79,48.935,Germany,45710,72800,27090
slice_70000_60000,Stajnia Cave,19.484,50.616,Poland,49000,71000,22000
slice_70000_60000,Temnata,23.385,43.09,Bulgaria,55000,70000,15000
slice_70000_60000,Tönchesberg 1,7.36,50.368,Germany,60000,72000,12000
slice_70000_60000,Veldwezelt-Hezerwater,5.644,50.86,Belgium,60000,90000,30000
slice_70000_60000,Walou,5.696,50.591,Belgium,42000,71000,29000
slice_70000_60000,Amud Cave,35.502,32.872,Israel,52000,70000,18000
slice_70000_60000,Carihuela,-3.43,37.449,Spain,63400,91000,27600
slice_70000_60000,Ein Qashish,35.11,32.685,Israel,60000,68000,8000
slice_70000_60000,Karain Cave,30.567,37.083,Turkey,50000,70000,20000
slice_70000_60000,Kebara Cave,34.937,32.558,Israel,56400,63400,7000
slice_70000_60000,Mezmaiskaya Cave,40,44.166,Russia,60000,70000,10000
slice_70000_60000,Shukbah,35.043,31.981,West Bank,50000,70000,20000
slice_70000_60000,Sipka,18.119,49.588,Czech Republic,59000,84000,25000
slice_70000_60000,Sveduv Stul,16.748,49.246,Czech Republic,59000,71000,12000
slice_70000_60000,Ilskaya,38.553,44.814,Russia,57000,72000,15000
